iso_3166_2_code;la_name_alt;pop_19
GB-AGY;Isle of Anglesey;70043.00
GB-GWN;Gwynedd;124560.00
GB-CWY;Conwy;117203.00
GB-DEN;Denbighshire;95696.00
GB-FLN;Flintshire;156100.00
GB-WRX;Wrexham;135957.00
GB-POW;Powys;132435.00
GB-CGN;Ceredigion;72695.00
GB-PEM;Pembrokeshire;125818.00
GB-CMN;Carmarthenshire;188771.00
GB-SWA;Swansea;246993.00
GB-NTL;Neath Port Talbot;143315.00
GB-BGE;Bridgend;147049.00
GB-VGL;Vale of Glamorgan;133587.00
GB-CRF;Cardiff;366903.00
GB-RCT;Rhondda Cynon Taf;241264.00
GB-MTY;Merthyr Tydfil;60326.00
GB-CAY;Caerphilly;181075.00
GB-BGW;Blaenau Gwent;69862.00
GB-TOF;Torfaen;93961.00
GB-MON;Monmouthshire;94590.00
GB-NWP;Newport;154676.00
